val_auroc,val_precision,val_specificity,val_loss,val_sensitivity,epoch,step,val_accuracy,train_loss,unlabeled_data_utilization,test_auroc,test_sensitivity,test_precision,test_specificity,test_accuracy
0.5,0.07407407462596893,0.0,0.3808458745479584,1.0,0,34,0.07407407462596893,,,,,,,
,,,,,0,34,,0.4004027247428894,0.0074399616569280624,,,,,
0.5099999904632568,0.07547169923782349,0.019999997690320015,0.3988529443740845,1.0,1,69,0.09259258955717087,,,,,,,
,,,,,1,69,,0.3899100422859192,0.005878945346921682,,,,,
0.5149999856948853,0.07619047909975052,0.029999999329447746,0.38503730297088623,1.0,2,104,0.10185185074806213,,,,,,,
,,,,,2,104,,0.3937360644340515,0.004365577828139067,,,,,
0.5099999904632568,0.07547169923782349,0.019999997690320015,0.37910905480384827,1.0,3,139,0.09259258955717087,,,,,,,
,,,,,3,139,,0.38944169878959656,0.005355342756956816,,,,,
0.5149999856948853,0.07619047909975052,0.029999999329447746,0.3688909411430359,1.0,4,174,0.10185185074806213,,,,,,,
,,,,,4,174,,0.38694214820861816,0.006981049198657274,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.3860607147216797,1.0,5,209,0.1111111119389534,,,,,,,
,,,,,5,209,,0.38413912057876587,0.004842327907681465,,,,,
0.5099999904632568,0.07547169923782349,0.019999997690320015,0.37048783898353577,1.0,6,244,0.09259258955717087,,,,,,,
,,,,,6,244,,0.3791130483150482,0.004314952064305544,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.3778265416622162,1.0,7,279,0.1111111119389534,,,,,,,
,,,,,7,279,,0.382890522480011,0.008055172860622406,,,,,
0.5099999904632568,0.07547169923782349,0.019999997690320015,0.37607693672180176,1.0,8,314,0.09259258955717087,,,,,,,
,,,,,8,314,,0.37637054920196533,0.007902570068836212,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.3722705543041229,1.0,9,349,0.1111111119389534,,,,,,,
,,,,,9,349,,0.37520384788513184,0.005411846097558737,,,,,
0.5249999761581421,0.0776699036359787,0.05000000074505806,0.36793121695518494,1.0,10,384,0.12037037312984467,,,,,,,
,,,,,10,384,,0.37564873695373535,0.005837914999574423,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.37472617626190186,1.0,11,419,0.1111111119389534,,,,,,,
,,,,,11,419,,0.3755621910095215,0.007385054603219032,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.3613654375076294,1.0,12,454,0.1111111119389534,,,,,,,
,,,,,12,454,,0.37106895446777344,0.005361334886401892,,,,,
0.5149999856948853,0.07619047909975052,0.029999999329447746,0.36642900109291077,1.0,13,489,0.10185185074806213,,,,,,,
,,,,,13,489,,0.37221819162368774,0.006373194977641106,,,,,
0.5299999713897705,0.0784313753247261,0.05999999865889549,0.3628218472003937,1.0,14,524,0.12962962687015533,,,,,,,
,,,,,14,524,,0.37199145555496216,0.007925940677523613,,,,,
0.5199999809265137,0.07692307978868484,0.03999999538064003,0.3784816563129425,1.0,15,559,0.1111111119389534,,,,,,,
,,,,,15,559,,0.3667783737182617,0.006986298132687807,,,,,
0.5299999713897705,0.0784313753247261,0.05999999865889549,0.37185540795326233,1.0,16,594,0.12962962687015533,,,,,,,
,,,,,16,594,,0.36960646510124207,0.007913961075246334,,,,,
0.5299999713897705,0.0784313753247261,0.05999999865889549,0.3645005524158478,1.0,17,629,0.12962962687015533,,,,,,,
,,,,,17,629,,0.36554014682769775,0.00652472535148263,,,,,
0.5299999713897705,0.0784313753247261,0.05999999865889549,0.3591630756855011,1.0,18,664,0.12962962687015533,,,,,,,
,,,,,18,664,,0.36866870522499084,0.007452765479683876,,,,,
0.5099999904632568,0.07547169923782349,0.019999997690320015,0.36227792501449585,1.0,19,699,0.09259258955717087,,,,,,,
,,,,,19,699,,0.3669852912425995,0.006450400687754154,,,,,
,,,,,20,700,,,,0.5261044502258301,1.0,0.078125,0.05220883712172508,0.12267658114433289
,,,,,20,700,,,,0.5071285367012024,0.949999988079071,0.0753968209028244,0.06425701826810837,0.13011151552200317
,,,,,20,700,,,,0.522088348865509,1.0,0.07751937955617905,0.04417670518159866,0.115241639316082
